Which option is closest to your personality type?,How frequently do you want to interact with someone new when you are in public?,How easy or difficult is it to meet new people in public?,How would you prefer to interact with new people for your first interaction?,How much time do you spend listening to music in public per day?,Would you want to connect with a stranger who has a similar taste in music as you?,How useful would it be to receive a notification when someone nearby wants to connect with you?
Introvert.,Often.,Very difficult.,In-person.,2 - 3 hours.,Yes,Very useful.
Introvert.,Somewhat often.,Easy.,In-person.,2 - 3 hours.,Yes,Sometimes useful.
Ambivert (mix of introvert and extrovert).,Somewhat often.,Hard.,Instant messaging.,Less than 1 hour.,Yes,Useful.
Ambivert (mix of introvert and extrovert).,Never.,Hard.,Instant messaging.,Less than 1 hour.,No,Sometimes useful.
Introvert.,Somewhat often.,Hard.,Instant messaging.,Less than 1 hour.,Yes,Sometimes useful.
Introvert.,Somewhat often.,Easy.,In-person.,Never.,Yes,Sometimes useful.
Introvert.,Never.,Hard.,Instant messaging.,2 - 3 hours.,No,Sometimes useful.
Introvert.,Somewhat often.,Hard.,In-person.,Never.,Yes,Not useful.
Introvert.,Never.,Hard.,Instant messaging.,Less than 1 hour.,No,Not useful.
Ambivert (mix of introvert and extrovert).,Somewhat often.,Very difficult.,In-person.,Less than 1 hour.,Yes,Very useful.
Introvert.,Never.,Hard.,In-person.,Less than 1 hour.,No,Sometimes useful.
Introvert.,Somewhat often.,Hard.,In-person.,Never.,Yes,Sometimes useful.
Introvert.,Somewhat often.,Easy.,Instant messaging.,Over 4 hours.,Yes,Sometimes useful.
Ambivert (mix of introvert and extrovert).,Somewhat often.,Easy.,In-person.,Over 4 hours.,Yes,Very useful.
Ambivert (mix of introvert and extrovert).,Never.,Very difficult.,In-person.,Never.,No,Not useful.
Introvert.,Somewhat often.,Hard.,Instant messaging.,Less than 1 hour.,Yes,Very useful.
Ambivert (mix of introvert and extrovert).,Somewhat often.,Hard.,Instant messaging.,2 - 3 hours.,Yes,Very useful.
Extrovert.,Often.,Hard.,In-person.,Less than 1 hour.,Yes,Sometimes useful.
Ambivert (mix of introvert and extrovert).,Very often.,Very easy.,In-person.,Less than 1 hour.,Yes,Sometimes useful.
Ambivert (mix of introvert and extrovert).,Somewhat often.,Hard.,In-person.,Over 4 hours.,Yes,Useful.
Introvert.,Never.,Hard.,Instant messaging.,2 - 3 hours.,Yes,Sometimes useful.
Ambivert (mix of introvert and extrovert).,Often.,Very easy.,Phone call.,Over 4 hours.,No,Sometimes useful.
Introvert.,Somewhat often.,Hard.,In-person.,2 - 3 hours.,Yes,Very useful.
Introvert.,Somewhat often.,Hard.,Instant messaging.,Never.,Yes,Very useful.
Ambivert (mix of introvert and extrovert).,Often.,Very easy.,In-person.,Less than 1 hour.,Yes,Not useful.
Ambivert (mix of introvert and extrovert).,Never.,Hard.,In-person.,2 - 3 hours.,No,Not useful.
Extrovert.,Often.,Very easy.,In-person.,Less than 1 hour.,No,Sometimes useful.
Introvert.,Never.,Very difficult.,Instant messaging.,2 - 3 hours.,Yes,Useful.
Ambivert (mix of introvert and extrovert).,Very often.,Very easy.,Video chat.,Less than 1 hour.,Yes,Very useful.
Introvert.,Never.,Very difficult.,In-person.,Never.,Yes,Not useful.
Extrovert.,Somewhat often.,Easy.,In-person.,Never.,No,Not useful.
Introvert.,Never.,Hard.,Instant messaging.,Never.,No,Sometimes useful.
Introvert.,Somewhat often.,Easy.,In-person.,Less than 1 hour.,Yes,Sometimes useful.
Ambivert (mix of introvert and extrovert).,Often.,Hard.,In-person.,Over 4 hours.,Yes,Useful.
Introvert.,Never.,Very difficult.,Instant messaging.,Never.,No,Not useful.
Introvert.,Somewhat often.,Hard.,In-person.,Less than 1 hour.,Yes,Useful.
Introvert.,Somewhat often.,Very easy.,In-person.,Less than 1 hour.,Yes,Sometimes useful.
Introvert.,Never.,Very difficult.,In-person.,2 - 3 hours.,Yes,Sometimes useful.
Introvert.,Somewhat often.,Hard.,In-person.,Less than 1 hour.,Yes,Sometimes useful.
Introvert.,Never.,Hard.,In-person.,Less than 1 hour.,No,Useful.
Introvert.,Never.,Hard.,In-person.,Less than 1 hour.,Yes,Sometimes useful.
Introvert.,Never.,Hard.,In-person.,Never.,Yes,Sometimes useful.
Introvert.,Somewhat often.,Hard.,In-person.,2 - 3 hours.,Yes,Useful.
Ambivert (mix of introvert and extrovert).,Somewhat often.,Hard.,Instant messaging.,Less than 1 hour.,No,Sometimes useful.
Introvert.,Somewhat often.,Easy.,Instant messaging.,Less than 1 hour.,No,Sometimes useful.
Introvert.,Never.,Hard.,Instant messaging.,Never.,No,Not useful.
Introvert.,Somewhat often.,Hard.,In-person.,2 - 3 hours.,No,Not useful.
Introvert.,Somewhat often.,Easy.,In-person.,Never.,Yes,Useful.
Introvert.,Never.,Very difficult.,In-person.,Never.,No,Not useful.
Introvert.,Somewhat often.,Hard.,Instant messaging.,2 - 3 hours.,No,Sometimes useful.